Aims,itr
chinese geographical science international journal sponsored northeast institute geography agroecology chinese academy sciences published science press beijing china chinese geographical science devoted leading scientific technological innovation geography serving development china promoting international scientific exchange journal mainly covers physical geography sub disciplines human geography sub disciplines cartography remote sensing geographic information systems pays close attention major issues world concerned man land relationship population resources environment globalization regional development journal publishes original research papers review articles research reports academic activities papers subject peer review published online www springerlink com,7
science china technological sciences academic journal cosponsored chinese academy sciences national natural science foundation china published science china press committed publishing high quality original results basic applied research science china technological sciences published print electronic forms indexed science citation index categories articles reviews summarize representative results achievements particular topic area comment current state research advise research directions author opinion related discussion requested research papers report important original results areas technological sciences brief reports present short reports timely manner latest important results,0
eurasian soil science international peer reviewed journal publishes original articles global regional theoretical experimental studies genesis geography physics chemistry biology fertility management conservation remediation soils journal welcomes manuscripts countries english russian language,14
food science biotechnology food sci biotechnol fsb launched food biotechnology changed present international peer reviewed journal published monthly korean society food science technology kosfost fsb journal covers food chemistry analysis compositional physiological activity changes food hygiene toxicology food microbiology biotechnology food engineering involved food processing physical chemical biological ways consumer perception sensory evaluation processed foods accepted relevant laboratory research work general rule manuscripts dealing analysis efficacy extracts natural resources prior processing related food processing considered scope journal fsb journal deal local lack significant scientific merit main scope journal seeking human health wellness constructive works new findings food science biotechnology field descriptionfood science biotechnology provides results original research physical chemical biological health aspects food science technology includes reviews related food science biotechnology journal emphasizes food science biotechnology relation food human health including food chemistry food component analysis section accepts researches food compositional functionality changes food processing physical chemical biological ways pursues ultimately understand constituents naturally present intentionally added affect physicochemical biological nutritional quality foods processing marketing storage accept analysis efficacy simple components extracts natural resources active food processing manuscripts lacking chemical approach accepted food microbiology biotechnology section dedicated publishing high quality research microbiology biotechnology related academic disciplines covers scientific technological aspects food microbiology biotechnology including food microbiology fermentation technology molecular biology omics biocatalysis enzyme technology bioprocess metabolic engineering food processing engineering section dedicated publishing high quality research applications processing engineering principles concepts foods covers physical properties foods processing production novel foods packaging preservation traditional innovative process technology food nanotechnology food hygiene toxicology section accepts innovative researches food safety toxicology related food processing covers fundamental studies mechanisms foodborne pathogens molecular levels applied studies application food industries applied areas thermal non thermal processing reduce foodborne pathogens food processing focused food toxicology section covers fundamental studies toxins molecular levels field research works reduce toxic materials food biological activity nutrition foods section covers researches bioactive function nutrition food components including proteins fats carbohydrates minerals phytochemicals based vitro vivo model studies sensory consumer sciences section dedicated publishing novel scientific contribution field applied psychophysics sensory evaluation consumer perception acceptance research food science covers fundamentalstudies sensory perception innovative food ingredients changes sensory quality processing packaging storage food new developments sensory consumer research methods inter intra individual differences food perception preferences sensometric analyses models relation sensory quality pleasure food,18
current medical science provides forum peer reviewed papers medical sciences promote academic exchange chinese researchers doctors foreign counterparts journal covers subjects biomedicine physiology biochemistry molecular biology pharmacology pathology pathophysiology clinical research surgery internal medicine obstetrics gynecology pediatrics otorhinolaryngology articles appearing current medical science mainly english small number papers german pay tribute german founder journal medical periodical western languages sponsored educational institution located central china,19
visual computer publishes articles research fields capturing recognizing modelling analysing generating shapes images includes image understanding machine learning graphics fabrication reconstructioncomputer animationcomputational fabricationcomputational geometrycomputational photographycomputer vision computer graphicsdata compression graphicsgeometric modellinggeometric processinghci computer graphicshuman modellingimage analysisimage based renderingimage processingmachine learning graphicsmedical imagingpattern recognitionphysically based modellingillumination rendering methodsrobotics visionsaliency methodsscientific visualizationshape surface modellingshape analysis image retrievalshape matchingsketch based modellingsolid modellingstylized renderingtexturesvirtual augmented realityvisual analyticsvolume renderingall papers subject thorough review accepted revised accordingly original contributions describing advances theory mentioned fields practical results original applications invited,38
journal publishes following types papers original important research authoritative comprehensive reviews short overviews topics currentinterest brief urgent communications new significant research commentaries intended foster exchange innovative provocative ideas andto encourage dialogue researchers working different clusterdisciplines cluster chemistry nanomaterials including main group clusters metal clusters carbon silicon based clusters synthesis molecular clusters novel synthetic techniques cluster growth novel experimental techniques cluster reactions structure determination bonding analysis chemical physical properties clusters stoichiometric catalytic reactivity dynamic processes topics include clustering atoms molecules self assembly clusters nanoparticles cluster materials include nanomaterials nanoparticles catalysts nanocomposites arrays nanomaterials cluster assembled hierarchical nanomaterials cluster based quasicrystals intermetallic phases cluster based sensors detectors cluster physics astrophysics includes topics quantum confinement coulomb blockade tunneling clusters nanomaterials physical properties clusters gas phase clusters cluster beam molecular particle spectroscopy single particle spectroscopies transport properties electrical thermal conductivities superconductors superionic conductors light transmission energy transport quasicrystals intermetallic phases nonlinear phenomena nonlinear optical properties optical limiter chaos cluster biology life sciences includes molecular biology clusters cluster cell biology cluster biochemistry formation transport clusters biology biomimetics genetic clusters dendrograms cladograms structures viruses sequence analysis genome annotation cancer clusters cluster based biosensors detectors diagnostics cluster mathematics analysis includes topics cluster statistical analysis new mathematical clustering algorithms novel theoretical computational methods cluster calculations mathematical modeling calculations cluster structures interactions properties cluster related earth science includes topics cluster formation nature clay nanoparticles synthesis structure properties articles related cluster based energy production renewable solar fossil biomass conversion storage transport use clusters environmental sciences welcome new instrumentation novel experimental techniques cluster research,40
journal materials science firmly established leading source primary communication scientists investigating structure properties engineering materials journal materials science publishes reviews length papers recording original research results techniques studying relationship structure properties uses materials materials include metals ceramics glasses polymers energy materials electrical materials composite materials fibers nanostructured materials nanocomposites biological biomedical materials,33
international journal environmental science technology ijest international scholarly refereed research journal aims promote theory practice environmental science technology innovation engineering management broad outline journal scope includes peer reviewed original research articles case technical reports reviews analyses papers short communications notes editor interdisciplinary information practice status research environmental science technology natural man main aspects research areas include exclusive environmental chemistry biology environments pollution control abatement technology transport fate pollutants environment concentrations dispersion wastes air water soil point non point sources pollution heavy metals organic compounds environment atmospheric pollutants trace gases solid hazardous waste management soil biodegradation bioremediation contaminated sites environmental impact assessment industrial ecology ecological human risk assessment improved energy management auditing efficiency environmental standards criteria,55
science china chemistry academic journal cosponsored chinese academy sciences national natural science foundation china published science china press committed publishing high quality original results basic applied research science china chemistry published print electronic forms indexed science citation index categories articles include highlights brief summaries scholarly comments recent research achievements field chemistry highlights words length figure maximum references perspectives concise reports thelatest chemistry trends scientists worldwide including discussions research breakthroughs interpretations important science funding policies perspectives words length figures tables maximum references reviews depth summaries representative results achievements past years selected topics based closely related research expertise authors providing thorough assessment significance current status future research directions field reviews words length maximum references mini reviews concise short reviews words length references feature articles overview recent work author group generally experts field significant contributions recent years invited write feature articles words length communications short articles reporting important research results chemistry urgent communication scientific community warranted communications words length figures tables maximum references articles original reports maximum references cover important results area chemistry,61
