Title,Abstract,Keywords,itr,Label
aboveground resource allocation response root herbivory affected arbuscular mycorrhizal symbiosis,aims arbuscular mycorrhizal fungi associate majority terrestrial plants influencing growth nutrient uptake defence chemistry consequently fungi significantly impact plant herbivore interactions surprisingly studies investigated fungi affect plant responses root herbivores study aimed investigate fungi affect plant tolerance mechanisms belowground herbivory methods examined fungi affect plant saccharum spp hybrid growth nutrient dynamics secondary chemistry phenolics response attack root feeding insect dermolepida albohirtum results root herbivory reduced root mass response plants augmented investment aboveground biomass increasing carbon concentrations fungi increased aboveground biomass phosphorus carbon root herbivory increased foliar phenolics mycorrhizal plants increased arbuscular colonisation roots overall fungi decreased herbivore performance potentially increasing root silicon concentrations conclusions results suggest fungi able augment plant tolerance root herbivory resource allocation aboveground time enhance plant root resistance increasing root silicon ability fungi facilitate resource allocation aboveground way widespread strategy plants cope belowground herbivory,arbuscular mycorrhizal fungi herbivory plant defence tolerance resource allocation,277,49
benefits structured reflection team based learning tbl,act reflection essential metacognitive skill helps learners construct knowledge engage learning team based learning provides opportunities unstructured reflection implementation journal entries regular guided opportunity reflection provides additional focused opportunity reflection allows instructor observe changes thinking behavior encourage development reflective metacognitive skills,team based learning tbl reflection active learning meta cognition,102,13
simplified methodology seismic assessment masonry buildings rc slabs,present paper aims contribute knowledge concerning seismic assessment load bearing masonry buildings reinforced concrete slabs final goal present research propose simple accurate methodology assess seismic safety existing masonry buildings methodology presented based called icist acss methodology major improvements extension load bearing masonry wall buildings consideration effects common strengthening solutions masonry walls referred reinforced plastering mortar possibility considering levels increasing refinement global alignment wall panel wall element extended research performed existing methodologies evaluate seismic structural risk load bearing masonry buildings briefly describing methodologies similar proposed common fact based physical comparison resisting acting shear forces storeys orthogonal horizontal directions case study presented check applicability proposed methodology case study proposed methodology relatively simple apply sufficiently good accuracy compared alternative methodologies degree refinement analysis global alignment wall panel wall element taken consideration successively complex analyses required results simpler analyses inconclusive,masonry buildings seismic behaviour safety assessment simplified approach,1595,258
investigation outdoor thermal comfort conditions different seasonal field surveys china guangzhou,outdoor microclimatic conditions strongly affect thermal comfort pedestrians transversal field survey conducted guangzhou micrometeorological measurements outdoor physiological equivalent temperature pet varied regression lines obtained establish correlations mean thermal sensation vote mtsv pet bins width furthermore thermal comfort range pet neutral pet npet preferred pet analyzed results indicated young people thermal comfort range pet spanned npet preferred pet significantly differed different seasons npet higher summer winter transitional seasons preferred pet summer lower winter pet limits different thermal stress categories confirmed differed cities impacts adaptation thermal comfort range significant people outdoor environment,outdoor thermal comfort physiological equivalent temperature pet thermal adaptation thermal comfort range neutral temperature,809,145
information value uncertainties stage uncertain programming recourse,based uncertainty theory paper mainly studies uncertainties information value stage uncertain programming recourse define fundamental concepts investigate theoretical properties based present optimal indices evpi vus introduce method calculate expected value second stage objective function involving discrete uncertain variables complexity calculation upper bound lower bound indices studied respectively finally examples given illustrate concepts clearly results obtained paper provide theoretical basis studying uncertainties information value decision making process uncertain systems,uncertainty theory stage uncertain programming expected value expected value perfect information,155,28
impact duration recurrence rhegmatogenous retinal detachment optimal cutoff value,purpose assess impact symptom duration recurrence rhegmatogenous retinal detachment rrd determine threshold symptom duration recurrence patient methods non comparative observational case series retrospective evaluation records patients rrd baseline postoperative follow period respect postoperative anatomic outcome prognostic factors recurrent retinal detachment cutoff value symptom duration results recurrent retinal detachment detected patients following primary retinal detachment surgery surgery type phakic patients preoperative symptom duration significantly high odds ratio evidence surgical failure according roc analysis threshold preoperative symptom duration days conclusion results early reattachment surgery necessary lower risk retinal redetachment threshold rrd recurrence significantly increases days,rhegmatogenous retinal detachment recurrent retinal detachment prognostic factors symptom duration roc analysis,1863,312
economics planting producing biomass willow,blowing snow adversely affects winter transportation reducing driver visibility creating icy roads depositing snow drifts travel lane blowing snow prevalent snowy windy climates landscapes lack sufficient vegetation trap snow maintaining safe driving conditions roads blowing snow costly challenge transportation agencies living snow fences lsfs semi permanent living structures reduce blowing drifting snow offer environmental benefits carbon sequestration wildlife habitat recently shrub willow cultivars salix spp evaluated potential lsf relative ease planting reduction plant material costs fast growth ability establish given proper site preparation planting techniques maintenance evaluate potential willow lsfs study analyzes costs planting establishing willow lsf viability harvesting biomass study finds costs planting establishing willow lsf row snow fence biomass harvest prohibitively expensive typical willow lsf small scale production corridor length willow lsfs planting establishment costs defrayed payments transportation benefits produce biomass cost dry mg,windbreak enterprise budgets transportation snow,1904,319
cerrado vegetation types determine land use impacts ant biodiversity,simplification native habitats leads biodiversity decline tropical terrestrial ecosystems evaluated conversion types native cerrado vegetation open grassland typical savanna woodland savanna human managed land uses eucalyptus plantations pastures affects ant richness composition arboreal epigaeic hypogaeic ant communities sampled vegetation soil characteristics determine specific features driving differences ant communities land use conversion general biodiversity negatively affected conversion eucalyptus plantations pastures regardless vegetation type impacts act way ant strata vegetation type grass herbaceous cover important environmental variable correlated diversity open grassland plant richness litter diversity important environmental variables ant species typical woodland savannas results indicate expanding eucalyptus plantations stronger negative impacts conversion open vegetation types pasture implementation stronger negative effects implemented closed vegetation types need protection diversity native vegetation brazilian cerrado open forested habitats,brazilian savanna fragmentation eucalyptus pasture formicidae habitat simplification,1500,243
polycarbazole derivatives progress synthesis applications,polycarbazole derivatives encompass nitrogen containing aromatic heterocyclic conducting polymers excellent optoelectronic properties high charge carrier mobility excellent morphological stability make potential candidates field nanodevices rechargeable batteries electrochemical transistors engrossingly carbazole moieties electropolymerized different methods resulting formation poly carbazole poly carbazole derivatives positions active fundamental difference polymers bandgap energies effectual conjugation length poly carbazole exhibits extended conjugation length presence lower bandgap energy values presence poly para phenylene ppp like structure pysico chemical characteristics polymers revamped employing substituents various positions synthetic methods leading generation highly efficient materials wide range optoelectronic applications present intrinsically conducting polymers icps like polythiophene pt poly phenylene ppp polypyrrole ppy polyaniline pani diligently investigated carbazole units advantageous intriguing properties includes presence bridged biphenyl unit providing material lower bandgap inexpensive raw material carbazole natural functionalizing ability nitrogen atom predominant objective review effectuate comprehensive study carbazole based conducting polymers derivatives applications various synthesis methods graphical abstract,polycarbazole conducting polymers poly carbazole poly carbazole,577,112
variations pulp volume normotensive hypertensive individuals cbct imaging,objectives compare pulp volume individuals altered normal systemic blood pressure bp order verify high bp promotes dimensional modifications pulp space materials methods cone beam computed tomography scans patients females males mean age years healthy maxillary canine selected values arterial bp measured dental visits used classify sample normal bp mmhg altered bp mmhg patients normal bp altered bp oral radiologist evaluated patient pulp tooth volumes using semi automatic segmentation tooth length data submitted student test logistic regression significance level results pulp volume pulp volume tooth volume pulp volume tooth length ratios greater altered bp group conversely difference tooth volume groups logistic regression model using pulp volume age enabled development formula predicting altered bp accuracy conclusions individuals altered systemic bp greater pulp volumes normal bp formula developed study indicate presence altered bp clinical relevance arterial hypertension silent disease produces warning signs symptoms identification modifications pulp volume cone beam computed tomography scans adjuvant sign diagnosis disease,arterial pressure dental pulp microcirculation cone beam computed tomography,906,158
